concepto_id,nombre_en,elementos
FMA3710,vascular tree,7
FMA3711,segment of artery,6
FMA3714,variant artery,1
FMA3726,anastomosis,8
FMA3727,vascular anastomosis,8
FMA3728,arterial anastomosis,4
FMA3729,venous anastomosis,4
FMA3736,ascending aorta,1
FMA3768,arch of aorta,1
FMA3784,descending aorta,3
FMA3789,abdominal aorta,1
FMA3802,trunk of right coronary artery,1
FMA3807,right conus artery,2
FMA3813,anterior ventricular branch of right coronary artery,8
FMA3815,first anterior ventricular branch of right coronary artery,3
FMA3818,marginal branch of right coronary artery,5
FMA3835,posterior ventricular branch of right coronary artery,9
FMA3837,first posterior ventricular branch of right coronary artery,9
FMA3840,posterior interventricular branch of right coronary artery,9
FMA3845,septal branch of right posterior interventricular artery,2
FMA3847,first septal branch of right posterior interventricular artery,1
FMA3848,second septal branch of right posterior interventricular artery,1
FMA3855,trunk of left coronary artery,1
FMA3860,diagonal branch of anterior descending branch of left coronary artery,10
FMA3868,conus branch of anterior interventricular branch of left coronary artery,2
FMA3870,right anterior branch of anterior interventricular branch of left coronary artery,5
FMA3872,first right anterior branch of anterior interventricular branch of left coronary artery,2
FMA3874,second right anterior branch of anterior interventricular branch of left coronary artery,1
FMA3876,third right anterior branch of anterior interventricular branch of left coronary artery,2
FMA3892,septal branch of anterior interventricular artery,3
FMA3895,circumflex branch of left coronary artery,6
FMA3932,brachiocephalic artery,93
FMA3939,common carotid artery,2
FMA3941,right common carotid artery,13
FMA3947,internal carotid artery,2
FMA3949,right internal carotid artery,12
FMA3951,subclavian artery,2
FMA3953,right subclavian artery,79
FMA3956,vertebral artery,2
FMA3958,right vertebral artery,43
FMA3960,internal thoracic artery,2
FMA3969,right internal thoracic artery,3
FMA3988,right superior epigastric artery,1
FMA3990,thyrocervical trunk,2
FMA3992,right thyrocervical trunk,1
FMA3994,second posterior intercostal artery,2
FMA4057,right dorsal scapular artery,1
FMA4058,left common carotid artery,10
FMA4062,left internal carotid artery,9
FMA4066,left vertebral artery,43
FMA4068,left internal thoracic artery,3
FMA4077,left musculophrenic artery,1
FMA4083,left superior epigastric artery,1
FMA4084,left thyrocervical trunk,1
FMA4086,left costocervical trunk,1
FMA4088,left superior intercostal artery,1
FMA4112,left second posterior intercostal artery,1
FMA4134,left deep cervical artery,1
FMA4149,esophageal artery,1
FMA4176,posterior intercostal artery,4
FMA4613,subcostal artery,2
FMA4634,right subcostal artery,1
FMA4654,left subcostal artery,1
FMA4677,trunk of branch of coronary artery,1
FMA4694,left subclavian artery,79
FMA4706,coronary sinus,1
FMA4707,great cardiac vein,1
FMA4708,left marginal vein,3
FMA4712,posterior vein of left ventricle,10
FMA4713,middle cardiac vein,14
FMA4714,small cardiac vein,2
FMA4716,right marginal vein,3
FMA4720,superior vena cava,1
FMA4723,brachiocephalic vein,2
FMA4724,internal jugular vein,2
FMA4725,subclavian vein,2
FMA4729,internal thoracic vein,1
FMA4731,superior epigastric vein,2
FMA4732,musculophrenic vein,2
FMA4751,right brachiocephalic vein,4
FMA4754,right internal jugular vein,1
FMA4755,right subclavian vein,1
FMA4758,right internal thoracic vein,1
FMA4761,left brachiocephalic vein,1
FMA4762,left internal jugular vein,1
FMA4763,left subclavian vein,1
FMA4771,right superior epigastric vein,1
FMA4772,right musculophrenic vein,1
FMA4785,left superior epigastric vein,1
FMA4786,left musculophrenic vein,1
FMA4797,left superior intercostal vein,1
FMA4838,azygos vein,1
FMA4843,right ascending lumbar vein,1
FMA4844,right subcostal vein,1
FMA4877,right superior intercostal vein,1
FMA4944,hemiazygos vein,1
FMA4950,left ascending lumbar vein,1
FMA4951,left subcostal vein,1
FMA5011,accessory hemiazygos vein,1
FMA5018,bone organ,203
FMA5022,muscle organ,323
FMA5039,right costocervical trunk,1
FMA5041,right second posterior intercostal artery,1
FMA5042,right superior intercostal artery,1
FMA5865,cranial nerve,2
FMA5884,ganglion,2
FMA5889,autonomic ganglion,2
FMA5894,parasympathetic ganglion,2
FMA5895,cranial parasympathetic ganglion,2
FMA5897,anatomical space,9
FMA5898,anatomical junction,10
FMA5913,nerve trunk,8
FMA6964,ciliary ganglion,2
FMA7037,branch of ciliary ganglion,2
FMA7041,short ciliary nerve,2
FMA7131,esophagus,1
FMA7145,membrane organ,10
FMA7146,organ component gland,2
FMA7148,stomach,1
FMA7163,skin,1
FMA7196,spleen,1
FMA7198,pancreas,4
FMA7202,gallbladder,1
FMA7203,kidney,2
FMA7204,right kidney,1
FMA7205,left kidney,1
FMA7206,duodenum,1
FMA7210,testis,2
FMA7211,right testis,1
FMA7212,left testis,1
FMA7232,cusp of cardiac valve,6
FMA7237,leaflet of tricuspid valve,3
FMA7238,anterior leaflet of tricuspid valve,1
FMA7239,posterior leaflet of tricuspid valve,1
FMA7240,septal leaflet of tricuspid valve,1
FMA7241,leaflet of mitral valve,2
FMA7242,anterior leaflet of mitral valve,1
FMA7243,posterior leaflet of mitral valve,1
FMA7247,left anterior cusp of pulmonary valve,1
FMA7248,cusp of pulmonary valve,3
FMA7249,right anterior cusp of pulmonary valve,1
FMA7250,posterior cusp of pulmonary valve,1
FMA7251,cusp of aortic valve,3
FMA7252,right posterior cusp of aortic valve,1
FMA7253,anterior cusp of aortic valve,1
FMA7254,left posterior cusp of aortic valve,1
FMA7260,anterior papillary muscle of right ventricle,1
FMA7261,posterior papillary muscle of right ventricle,1
FMA7262,septal papillary muscle of right ventricle,1
FMA7264,lateral papillary muscle of left ventricle,2
FMA7265,anterolateral head of lateral papillary muscle of left ventricle,1
FMA7394,trachea,1
FMA7396,left main bronchus,1
FMA7405,main bronchus,1
FMA7409,bronchus,2
FMA7474,long bone,114
FMA7475,short bone,36
FMA7476,flat bone,10
FMA7477,irregular bone,43
FMA7478,pneumatized bone,6
FMA7486,manubrium,1
FMA7487,body of sternum,1
FMA7488,xiphoid process,1
FMA7538,cartilage organ component,14
FMA7574,rib,24
FMA7591,costal cartilage,14
FMA7592,true rib,14
FMA7593,typical rib,10
FMA7594,false rib,10
FMA7595,floating rib,4
FMA7596,atypical rib,4
FMA7597,first rib,2
FMA7603,first costal cartilage,2
FMA7620,second rib,2
FMA7638,third rib,2
FMA7646,retinaculum,2
FMA7703,second costal cartilage,2
FMA7741,third costal cartilage,2
FMA7749,fourth rib,2
FMA7768,fourth costal cartilage,2
FMA7776,fifth rib,2
FMA7795,fifth costal cartilage,2
FMA7822,sixth costal cartilage,2
FMA7830,seventh rib,2
FMA7849,seventh costal cartilage,2
FMA7857,right first rib,1
FMA7875,right first costal cartilage,1
FMA7882,right second rib,1
FMA7886,right second costal cartilage,1
FMA7909,right third rib,1
FMA7913,right third costal cartilage,1
FMA7957,right fourth rib,1
FMA7976,right fourth costal cartilage,1
FMA7987,left first rib,1
FMA8005,left first costal cartilage,1
FMA8012,left second rib,1
FMA8031,left second costal cartilage,1
FMA8039,left third rib,1
FMA8058,left third costal cartilage,1
FMA8066,right fifth rib,1
FMA8070,right fifth costal cartilage,1
FMA8093,left fifth rib,1
FMA8112,left fifth costal cartilage,1
FMA8120,eighth rib,2
FMA8147,sixth rib,2
FMA8148,left fourth rib,1
FMA8167,left fourth costal cartilage,1
FMA8175,right sixth rib,1
FMA8194,right sixth costal cartilage,1
FMA8202,left sixth rib,1
FMA8221,left sixth costal cartilage,1
FMA8229,right seventh rib,1
FMA8248,right seventh costal cartilage,1
FMA8256,left seventh rib,1
FMA8275,left seventh costal cartilage,1
FMA8283,right eighth rib,1
FMA8310,left eighth rib,1
FMA8337,ninth rib,2
FMA8364,right ninth rib,1
FMA8391,left ninth rib,1
FMA8418,tenth rib,2
FMA8445,right tenth rib,1
FMA8472,left tenth rib,1
FMA8499,eleventh rib,2
FMA8515,twelfth rib,2
FMA8531,right eleventh rib,1
FMA8532,left eleventh rib,1
FMA8533,right twelfth rib,1
FMA8534,left twelfth rib,1
FMA8612,pulmonary trunk,1
FMA8615,pulmonary arterial trunk,1
FMA8620,right anterior segmental artery,9
FMA8634,left apical segmental artery,4
FMA8635,left posterior segmental artery,3
FMA8639,superior lingular artery,4
FMA8640,inferior lingular artery,2
FMA8642,left superior segmental artery,7
FMA8644,left medial basal segmental artery,2
FMA8645,left anterior basal segmental artery,3
FMA8646,left lateral basal segmental artery,4
FMA8647,left posterior basal segmental artery,6
FMA8648,trunk of pulmonary vein,1
FMA8662,right anterior segmental vein,4
FMA8663,right posterior segmental vein,7
FMA8667,left anterior segmental vein,3
FMA8668,superior lingular vein,2
FMA8669,inferior lingular vein,2
FMA8670,right superior segmental vein,6
FMA8673,right anterior basal segmental vein,2
FMA8678,left anterior basal segmental vein,4
FMA8681,apical part of right apical segmental vein,3
FMA8683,superior part of anterior segmental vein,1
FMA8693,inferior part of anterior segmental vein,1
FMA8702,upper lobar artery,1
FMA8707,apical segmental artery,4
FMA8714,superior segmental artery,7
FMA8716,medial basal segmental artery,2
FMA8717,anterior basal segmental artery,3
FMA8718,lateral basal segmental artery,4
FMA8719,posterior basal segmental artery,6
FMA8755,segmental pulmonary artery,45
FMA9139,thoracic vertebra,12
FMA9165,first thoracic vertebra,1
FMA9187,second thoracic vertebra,1
FMA9209,third thoracic vertebra,1
FMA9248,fourth thoracic vertebra,1
FMA9291,cavity of right ventricle,1
FMA9311,subsegmental pulmonary artery,51
FMA9337,organ cavity subdivision,2
FMA9338,anatomical conduit space,1
FMA9411,segmental pulmonary vein,68
FMA9413,subsegmental pulmonary vein,16
FMA9419,subsegmental part of lateral segmental vein,6
FMA9421,subsegmental part of medial segmental vein,3
FMA9422,right medial basal segmental vein,2
FMA9425,right lateral basal segmental vein,4
FMA9428,right posterior basal segmental vein,9
FMA9437,left apical segmental vein,7
FMA9438,left posterior segmental vein,10
FMA9450,left lateral basal segmental vein,4
FMA9451,left posterior basal segmental vein,4
FMA9457,wall of right atrium,1
FMA9464,cavity of cardiac chamber,4
FMA9465,cavity of left atrium,1
FMA9466,cavity of left ventricle,1
FMA9531,wall of left atrium,1
FMA9597,salivary gland,4
FMA9600,prostate,1
FMA9604,adrenal gland,2
FMA9611,femur,2
FMA9612,metacarpal bone,10
FMA9613,parietal bone,2
FMA9615,cricoid cartilage,2
FMA9616,muscle of head,23
FMA9617,muscle of neck,54
FMA9619,muscle of thorax,9
FMA9620,muscle of abdomen,2
FMA9621,muscle of upper limb,78
FMA9622,muscle of lower limb,92
FMA9623,perineal muscle,4
FMA9625,stylohyoid,2
FMA9629,supraspinatus,2
FMA9637,portion of tissue,2
FMA9640,portion of connective tissue,2
FMA9649,decussation,1
FMA9657,anatomical line,3
FMA9703,nasolacrimal duct,2
FMA9704,ureter,2
FMA9706,bile duct,4
FMA9708,talus,2
FMA9710,vomer,1
FMA9711,maxilla,2
FMA9721,tendon,6
FMA9756,external intercostal muscle,2
FMA9757,internal intercostal muscle,2
FMA9758,innermost intercostal muscle,2
FMA9760,transversus thoracis,2
FMA9761,right transversus thoracis,1
FMA9762,left transversus thoracis,1
FMA9914,vertebra,24
FMA9915,cervical vertebra,7
FMA9921,lumbar vertebra,5
FMA9922,fifth thoracic vertebra,1
FMA9945,sixth thoracic vertebra,1
FMA9968,seventh thoracic vertebra,1
FMA9991,eighth thoracic vertebra,1
FMA10014,ninth thoracic vertebra,1
FMA10037,tenth thoracic vertebra,1
FMA10059,eleventh thoracic vertebra,1
FMA10081,twelfth thoracic vertebra,1
FMA10419,pancreatic duct,1
FMA10446,intervertebral disk,23
FMA10455,intervertebral disk of thoracic vertebra,11
FMA10458,intervertebral disk of first thoracic vertebra,1
FMA10474,zone of muscle organ,38
FMA10483,zone of bone organ,1
FMA10552,left dorsal scapular artery,1
FMA10636,costocervical trunk,2
FMA10645,musculophrenic artery,2
FMA10646,superior epigastric artery,2
FMA10659,deep cervical artery,2
FMA10660,right deep cervical artery,1
FMA10662,inferior thyroid artery,2
FMA10663,suprascapular artery,2
FMA10664,transverse cervical artery,2
FMA10665,superficial cervical artery,2
FMA10680,left inferior thyroid artery,1
FMA10681,left suprascapular artery,1
FMA10682,left transverse cervical artery,3
FMA10683,left superficial cervical artery,1
FMA10692,right musculophrenic artery,1
FMA10697,right inferior thyroid artery,1
FMA10698,right suprascapular artery,1
FMA10699,right transverse cervical artery,3
FMA10700,right superficial cervical artery,1
FMA10704,variant bronchial artery,1
FMA10951,inferior vena cava,2
FMA11195,segment of neural tree organ,36
FMA11336,linea alba,1
FMA11337,zone of continuity,9
FMA11338,ileocecal junction,1
FMA11359,cavity of right atrium,1
FMA12215,zone of sternum,1
FMA12224,segment of tracheobronchial tree,101
FMA12516,tooth,28
FMA12519,atlas,1
FMA12520,axis,1
FMA12521,third cervical vertebra,1
FMA12522,fourth cervical vertebra,1
FMA12523,fifth cervical vertebra,1
FMA12524,sixth cervical vertebra,1
FMA12525,seventh cervical vertebra,1
FMA12823,incisor tooth,8
FMA12845,subcostal vein,2
FMA12846,cardiac vein,44
FMA12858,ascending lumbar vein,3
FMA13072,first lumbar vertebra,1
FMA13073,second lumbar vertebra,1
FMA13074,third lumbar vertebra,1
FMA13075,fourth lumbar vertebra,1
FMA13076,fifth lumbar vertebra,1
FMA13087,segment of aorta,5
FMA13109,pectoralis minor,2
FMA13237,cavity of atrium,2
FMA13238,cavity of ventricle,2
FMA13256,wall of cardiac chamber,3
FMA13278,anterior segmental artery,10
FMA13279,left anterior segmental artery,8
FMA13280,posterior segmental artery,3
FMA13289,medial basal segmental vein,2
FMA13290,anterior basal segmental vein,6
FMA13291,lateral basal segmental vein,8
FMA13292,posterior basal segmental vein,13
FMA13295,diaphragm,1
FMA13303,humerus,2
FMA13321,clavicle,2
FMA13322,right clavicle,1
FMA13323,left clavicle,1
FMA13324,cephalic vein,2
FMA13325,right cephalic vein,1
FMA13326,left cephalic vein,1
FMA13329,axillary vein,2
FMA13330,right axillary vein,1
FMA13331,left axillary vein,1
FMA13335,external oblique,2
FMA13336,right external oblique,1
FMA13337,left external oblique,1
FMA13338,infrahyoid muscle,8
FMA13341,sternohyoid,2
FMA13342,omohyoid,2
FMA13343,sternothyroid,2
FMA13344,thyrohyoid,2
FMA13346,right sternohyoid,1
FMA13347,left sternohyoid,1
FMA13348,right omohyoid,1
FMA13349,left omohyoid,1
FMA13350,right sternothyroid,1
FMA13351,left sternothyroid,1
FMA13352,right thyrohyoid,1
FMA13353,left thyrohyoid,1
FMA13354,intercostal muscle,6
FMA13365,caudate lobe of liver,1
FMA13375,right pectoralis minor,1
FMA13376,left pectoralis minor,1
FMA13379,rhomboid major,2
FMA13380,rhomboid minor,2
FMA13381,right rhomboid major,1
FMA13382,left rhomboid major,1
FMA13383,right rhomboid minor,1
FMA13384,left rhomboid minor,1
FMA13385,scalenus anterior,2
FMA13386,scalenus medius,2
FMA13387,scalenus posterior,2
FMA13388,right scalenus posterior,1
FMA13389,left scalenus posterior,1
FMA13390,right scalenus medius,1
FMA13391,left scalenus medius,1
FMA13392,right scalenus anterior,1
FMA13393,left scalenus anterior,1
FMA13394,scapula,2
FMA13395,right scapula,1
FMA13396,left scapula,1
FMA13397,serratus anterior,2
FMA13398,right serratus anterior,1
FMA13399,left serratus anterior,1
FMA13400,serratus posterior,4
FMA13401,serratus posterior superior,2
FMA13402,serratus posterior inferior,2
FMA13403,right serratus posterior superior,1
FMA13404,left serratus posterior superior,1
FMA13405,right serratus posterior inferior,1
FMA13406,left serratus posterior inferior,1
FMA13407,sternocleidomastoid,2
FMA13408,right sternocleidomastoid,1
FMA13409,left sternocleidomastoid,1
FMA13410,subclavius,2
FMA13411,left subclavius,1
FMA13412,right subclavius,1
FMA13413,subscapularis,2
FMA13414,right subscapularis,1
FMA13415,left subscapularis,1
FMA13442,anterior segmental vein,5
FMA13443,posterior segmental vein,17
FMA13444,apical segmental vein,7
FMA13445,superior segmental vein,6
FMA13495,intervertebral disk of second thoracic vertebra,1
FMA13500,intervertebral disk of third thoracic vertebra,1
FMA13501,intervertebral disk of fourth thoracic vertebra,1
FMA13502,intervertebral disk of fifth thoracic vertebra,1
FMA13503,intervertebral disk of sixth thoracic vertebra,1
FMA13504,intervertebral disk of seventh thoracic vertebra,1
FMA13505,intervertebral disk of eighth thoracic vertebra,1
FMA13506,intervertebral disk of ninth thoracic vertebra,1
FMA13507,intervertebral disk of tenth thoracic vertebra,1
FMA13508,intervertebral disk of eleventh thoracic vertebra,1
FMA13883,wall of atrium,2
FMA13884,wall of ventricle,1
FMA13889,pituitary gland,1
FMA13894,intervertebral disk of lumbar vertebra,5
FMA13895,intervertebral disk of cervical vertebra,6
FMA13896,intervertebral disk of third cervical vertebra,1
FMA13897,intervertebral disk of fourth cervical vertebra,1
FMA13898,intervertebral disk of fifth cervical vertebra,1
FMA13899,intervertebral disk of sixth cervical vertebra,1
FMA13900,intervertebral disk of seventh cervical vertebra,1
FMA13912,ventricular branch of right coronary artery,17
FMA13914,anterior branch of anterior interventricular branch of left coronary artery,5
FMA13921,branch of anterior interventricular branch of left coronary artery,20
FMA14065,organ component,66
FMA14092,zone of small intestine,54
FMA14177,bronchial branch of arch of aorta,1
FMA14284,venous tree organ,7
FMA14293,tributary of internal thoracic vein,4
FMA14294,tributary of azygos vein,6
FMA14309,subsegmental part of apical segmental vein,5
FMA14310,subsegmental part of anterior segmental vein,2
FMA14317,tributary of external jugular vein,2
FMA14319,suprascapular vein,2
FMA14329,trunk of portal vein,2
FMA14331,splenic vein,1
FMA14332,superior mesenteric vein,1
FMA14333,common iliac vein,2
FMA14334,renal vein,4
FMA14335,right renal vein,2
FMA14336,left renal vein,2
FMA14337,hepatic vein,3
FMA14338,right hepatic vein,1
FMA14339,left hepatic vein,1
FMA14340,middle hepatic vein,1
FMA14341,right testicular vein,1
FMA14343,right suprarenal vein,1
FMA14344,testicular vein,2
FMA14345,left testicular vein,1
FMA14348,suprarenal vein,2
FMA14349,left suprarenal vein,1
FMA14495,segment of liver,1
FMA14539,cystic duct,1
FMA14540,segment of large intestine,4
FMA14542,appendix,1
FMA14544,rectum,1
FMA14545,ascending colon,1
FMA14546,transverse colon,1
FMA14547,descending colon,1
FMA14643,mesentery of small intestine,1
FMA14645,mesentery of large intestine,2
FMA14647,transverse mesocolon,1
FMA14668,common hepatic duct,1
FMA14669,right hepatic duct,1
FMA14670,left hepatic duct,1
FMA14678,extrahepatic bile duct,4
FMA14734,inferior phrenic artery,15
